card name,card id,card number,card image url
Pachirisu,dpp-DP04,DP04,https://images.pokemontcg.io/dpp/DP04_hires.png
Tangrowth,xy5-5,5,https://images.pokemontcg.io/xy5/5_hires.png
Nuzleaf,xy2-6,6,https://images.pokemontcg.io/xy2/6_hires.png
Camerupt,ex14-3,3,https://images.pokemontcg.io/ex14/3_hires.png
Dark Blastoise,base5-3,3,https://images.pokemontcg.io/base5/3_hires.png
Dark Espeon,neo4-4,4,https://images.pokemontcg.io/neo4/4_hires.png
Nidoking,hgss4-6,6,https://images.pokemontcg.io/hgss4/6_hires.png
Torterra,bw8-3,3,https://images.pokemontcg.io/bw8/3_hires.png
Charizard,sm75-3,3,https://images.pokemontcg.io/sm75/3_hires.png
Jumpluff,xy11-5,5,https://images.pokemontcg.io/xy11/5_hires.png
Arcanine,det1-6,6,https://images.pokemontcg.io/det1/6_hires.png
Kakuna,bw9-2,2,https://images.pokemontcg.io/bw9/2_hires.png
Minun,pop3-4,4,https://images.pokemontcg.io/pop3/4_hires.png
Kricketune,bw4-4,4,https://images.pokemontcg.io/bw4/4_hires.png
Jumpluff,hgss1-6,6,https://images.pokemontcg.io/hgss1/6_hires.png
Vileplume-GX,sm12-4,4,https://images.pokemontcg.io/sm12/4_hires.png
Treecko,xy5-6,6,https://images.pokemontcg.io/xy5/6_hires.png
Gastly,mcd19-7,7,https://images.pokemontcg.io/mcd19/7_hires.png
Giovanni's Gyarados,gym2-5,5,https://images.pokemontcg.io/gym2/5_hires.png
Clefable,base4-5,5,https://images.pokemontcg.io/base4/5_hires.png
Kakuna,xy1-4,4,https://images.pokemontcg.io/xy1/4_hires.png
Hitmonlee,base3-7,7,https://images.pokemontcg.io/base3/7_hires.png
Plusle,pop3-5,5,https://images.pokemontcg.io/pop3/5_hires.png
Dark Hypno,ex7-6,6,https://images.pokemontcg.io/ex7/6_hires.png
Dialga G,pl1-7,7,https://images.pokemontcg.io/pl1/7_hires.png
Entei,ecard2-H8,H8,https://images.pokemontcg.io/ecard2/H8_hires.png
Dragonite,basep-5,5,https://images.pokemontcg.io/basep/5_hires.png
Gardevoir,pl1-8,8,https://images.pokemontcg.io/pl1/8_hires.png
Lapras,ex12-8,8,https://images.pokemontcg.io/ex12/8_hires.png
Cottonee,swsh1-5,5,https://images.pokemontcg.io/swsh1/5_hires.png
Yanmega,bw6-5,5,https://images.pokemontcg.io/bw6/5_hires.png
Beedrill,xy1-5,5,https://images.pokemontcg.io/xy1/5_hires.png
Mothim,pl4-6,6,https://images.pokemontcg.io/pl4/6_hires.png
Gastrodon East Sea,dp3-8,8,https://images.pokemontcg.io/dp3/8_hires.png
Magikarp,det1-8,8,https://images.pokemontcg.io/det1/8_hires.png
Exeggcute,sm6-1,1,https://images.pokemontcg.io/sm6/1_hires.png
Charizard δ,ex14-4,4,https://images.pokemontcg.io/ex14/4_hires.png
Parasect,xy8-2,2,https://images.pokemontcg.io/xy8/2_hires.png
Sceptile,xy5-8,8,https://images.pokemontcg.io/xy5/8_hires.png
Lapras,mcd19-5,5,https://images.pokemontcg.io/mcd19/5_hires.png
Tangrowth,sm8-2,2,https://images.pokemontcg.io/sm8/2_hires.png
Beedrill,swsh35-4,4,https://images.pokemontcg.io/swsh35/4_hires.png
Raichu,pop9-3,3,https://images.pokemontcg.io/pop9/3_hires.png
Celebi,neo3-3,3,https://images.pokemontcg.io/neo3/3_hires.png
Haunter,base3-6,6,https://images.pokemontcg.io/base3/6_hires.png
Gardevoir δ,ex11-6,6,https://images.pokemontcg.io/ex11/6_hires.png
Mewtwo,basep-3,3,https://images.pokemontcg.io/basep/3_hires.png
Pikachu,mcd19-6,6,https://images.pokemontcg.io/mcd19/6_hires.png
Roselia,sm5-4,4,https://images.pokemontcg.io/sm5/4_hires.png
Blissey,ecard2-H6,H6,https://images.pokemontcg.io/ecard2/H6_hires.png
Starmie,ru1-5,5,https://images.pokemontcg.io/ru1/5_hires.png
Metagross,hgss2-4,4,https://images.pokemontcg.io/hgss2/4_hires.png
Espeon,col1-4,4,https://images.pokemontcg.io/col1/4_hires.png
Scyther,bw5-4,4,https://images.pokemontcg.io/bw5/4_hires.png
Pinsir-GX,sm115-6,6,https://images.pokemontcg.io/sm115/6_hires.png
Spinarak,xy7-5,5,https://images.pokemontcg.io/xy7/5_hires.png
Yanma,xy11-6,6,https://images.pokemontcg.io/xy11/6_hires.png
Kabutops,ex12-7,7,https://images.pokemontcg.io/ex12/7_hires.png
Luxray,pl4-5,5,https://images.pokemontcg.io/pl4/5_hires.png
Yanmega,xy4-4,4,https://images.pokemontcg.io/xy4/4_hires.png
Ninetales,hgss1-7,7,https://images.pokemontcg.io/hgss1/7_hires.png
Tangela,bw7-5,5,https://images.pokemontcg.io/bw7/5_hires.png
Raticate,si1-6,6,https://images.pokemontcg.io/si1/6_hires.png
Infernape,dp1-5,5,https://images.pokemontcg.io/dp1/5_hires.png
Petilil,sm2-4,4,https://images.pokemontcg.io/sm2/4_hires.png
Charizard,base1-4,4,https://images.pokemontcg.io/base1/4_hires.png
Garchomp,pl3-5,5,https://images.pokemontcg.io/pl3/5_hires.png
Sceptile,pop4-5,5,https://images.pokemontcg.io/pop4/5_hires.png
Dark Charizard,base5-4,4,https://images.pokemontcg.io/base5/4_hires.png
Carnivine,bw11-5,5,https://images.pokemontcg.io/bw11/5_hires.png
Butterfree,sm1-3,3,https://images.pokemontcg.io/sm1/3_hires.png
Vulpix,swsh35-6,6,https://images.pokemontcg.io/swsh35/6_hires.png
Mothim,xy10-4,4,https://images.pokemontcg.io/xy10/4_hires.png
Beedrill,bw9-3,3,https://images.pokemontcg.io/bw9/3_hires.png
Kyogre,ex9-6,6,https://images.pokemontcg.io/ex9/6_hires.png
Yanma,bw6-4,4,https://images.pokemontcg.io/bw6/4_hires.png
Grumpig,ex3-6,6,https://images.pokemontcg.io/ex3/6_hires.png
Dark Dragonite,base5-5,5,https://images.pokemontcg.io/base5/5_hires.png
Mismagius,hgss2-5,5,https://images.pokemontcg.io/hgss2/5_hires.png
Gloom,sm3-5,5,https://images.pokemontcg.io/sm3/5_hires.png
Mankey,mcd19-8,8,https://images.pokemontcg.io/mcd19/8_hires.png
Lilligant,sm2-5,5,https://images.pokemontcg.io/sm2/5_hires.png
Exeggcute,bw9-4,4,https://images.pokemontcg.io/bw9/4_hires.png
Pachirisu,dp4-5,5,https://images.pokemontcg.io/dp4/5_hires.png
Charmander,sm115-7,7,https://images.pokemontcg.io/sm115/7_hires.png
Shelmet,bw10-7,7,https://images.pokemontcg.io/bw10/7_hires.png
Beedrill,swsh4-3,3,https://images.pokemontcg.io/swsh4/3_hires.png
Noctowl,hgss1-8,8,https://images.pokemontcg.io/hgss1/8_hires.png
Magmortar,pl3-6,6,https://images.pokemontcg.io/pl3/6_hires.png
Vaporeon,pop3-6,6,https://images.pokemontcg.io/pop3/6_hires.png
Rapidash,hgss4-8,8,https://images.pokemontcg.io/hgss4/8_hires.png
Team Aqua's Walrein,ex4-6,6,https://images.pokemontcg.io/ex4/6_hires.png
Exeggcute,xy6-1,1,https://images.pokemontcg.io/xy6/1_hires.png
Wurmple,bw6-6,6,https://images.pokemontcg.io/bw6/6_hires.png
Masquerain,pop1-7,7,https://images.pokemontcg.io/pop1/7_hires.png
Giratina,pl1-9,9,https://images.pokemontcg.io/pl1/9_hires.png
Erika's Vileplume,gym1-5,5,https://images.pokemontcg.io/gym1/5_hires.png
Arcanine,basep-6,6,https://images.pokemontcg.io/basep/6_hires.png
Yanmega BREAK,xy11-8,8,https://images.pokemontcg.io/xy11/8_hires.png
Combusken,sm75-5,5,https://images.pokemontcg.io/sm75/5_hires.png
Minun,ex3-7,7,https://images.pokemontcg.io/ex3/7_hires.png
Exeggutor,bw9-5,5,https://images.pokemontcg.io/bw9/5_hires.png
Pansage,bw4-6,6,https://images.pokemontcg.io/bw4/6_hires.png
Heatran,ru1-4,4,https://images.pokemontcg.io/ru1/4_hires.png
Burmy,xy10-2,2,https://images.pokemontcg.io/xy10/2_hires.png
Weedle,xy1-3,3,https://images.pokemontcg.io/xy1/3_hires.png
Darkrai,dp4-4,4,https://images.pokemontcg.io/dp4/4_hires.png
Scyther,sm8-3,3,https://images.pokemontcg.io/sm8/3_hires.png
Manaphy,hgss2-3,3,https://images.pokemontcg.io/hgss2/3_hires.png
Victreebel,sm2-3,3,https://images.pokemontcg.io/sm2/3_hires.png
Tropius,bw10-5,5,https://images.pokemontcg.io/bw10/5_hires.png
Ivysaur,si1-5,5,https://images.pokemontcg.io/si1/5_hires.png
Roserade,swsh1-4,4,https://images.pokemontcg.io/swsh1/4_hires.png
Wormadam,xy10-3,3,https://images.pokemontcg.io/xy10/3_hires.png
Scyther,sm115-5,5,https://images.pokemontcg.io/sm115/5_hires.png
Sceptile,pop1-4,4,https://images.pokemontcg.io/pop1/4_hires.png
Golem,ex12-6,6,https://images.pokemontcg.io/ex12/6_hires.png
Dark Blastoise,base6-4,4,https://images.pokemontcg.io/base6/4_hires.png
Gallade,dp3-6,6,https://images.pokemontcg.io/dp3/6_hires.png
Team Aqua's Manectric,ex4-4,4,https://images.pokemontcg.io/ex4/4_hires.png
Jumpluff,bw6-3,3,https://images.pokemontcg.io/bw6/3_hires.png
Erika's Dragonair,gym1-4,4,https://images.pokemontcg.io/gym1/4_hires.png
Pinsir,sm8-4,4,https://images.pokemontcg.io/sm8/4_hires.png
Deoxys δ,ex13-4,4,https://images.pokemontcg.io/ex13/4_hires.png
Gardevoir,dp3-7,7,https://images.pokemontcg.io/dp3/7_hires.png
Servine,bw1-4,4,https://images.pokemontcg.io/bw1/4_hires.png
Karrablast,bw10-6,6,https://images.pokemontcg.io/bw10/6_hires.png
Psyduck,det1-7,7,https://images.pokemontcg.io/det1/7_hires.png
Porygon-Z,hgss4-7,7,https://images.pokemontcg.io/hgss4/7_hires.png
Team Aqua's Sharpedo,ex4-5,5,https://images.pokemontcg.io/ex4/5_hires.png
Tropical Wind,dpp-DP05,DP05,https://images.pokemontcg.io/dpp/DP05_hires.png
Dark Feraligatr,neo4-5,5,https://images.pokemontcg.io/neo4/5_hires.png
Mew δ,pop5-3,3,https://images.pokemontcg.io/pop5/3_hires.png
